"numero_dpe","date_etablissement_dpe","etiquette_dpe","type_batiment","periode_construction","surface_habitable_logement","classe_inertie_batiment","adresse_ban","code_postal_ban","code_insee_ban","code_region_ban","code_departement_ban","coordonnee_cartographique_x_ban","coordonnee_cartographique_y_ban","deperditions_enveloppe","qualite_isolation_enveloppe","conso_5_usages_ep","conso_5_usages_par_m2_ep","type_energie_n1","cout_total_5_usages","type_energie_principale_chauffage","_score"
"2107E0001038F","2021-06-30","D","maison",NA,84.2,NA,"17 Mas de Boulle 07150 Vallon-Pont-d'Arc","07150","07330","84","07",811627.2,6369054.46,222.6,"moyenne",17968.9,213.4,"Électricité",1687,"Électricité",NA
"2107E0002890L","2021-07-01","G","maison",NA,NA,"Légère","Route du Pont Louis XIII 07000 Privas","07000","07186","84","07",826851.42,6404549.79,673,"insuffisante",38411.9,441.5,"Fioul domestique",3673.3,"Électricité",NA
"2107E0684522B","2021-06-30","G","maison",NA,63,"Légère","24 Chemin du Moutat 07240 Silhac","07240","07314","84","07",826185.76,6422686.09,447.2,"insuffisante",10920.5,173.3,"Électricité",843,"Électricité",NA
"2107E0005059W","2021-07-01","E","maison",NA,NA,"Lourde","5 Rue des Luettes 07300 Tournon-sur-Rhône","07300","07324","84","07",845096.96,6441833.08,562.5,"insuffisante",27395.5,243.3,"Électricité",2579,"Électricité",NA
"2107E0002692V","2021-07-01","D","appartement",NA,NA,"Légère","9 Rue Malleval 07100 Annonay","07100","07010","84","07",830940.14,6461664.3,152.8,"bonne",14393.1,232.1,"Électricité",1361.3,"Électricité",NA
"2107E0684499E","2021-06-30","F","maison",NA,58,"Légère","23 Chemin du Moutat 07240 Silhac","07240","07314","84","07",826180.35,6422684.1,297.2,"insuffisante",14201.1,244.8,"Électricité",758,"Électricité",NA
"2107E0003108V","2021-07-01","E","maison",NA,NA,"Moyenne","1067 Avenue Sadi Carnot 07500 Guilherand-Granges","07500","07102","84","07",847557.63,6426963.45,451.9,"insuffisante",28849.2,267.1,"Électricité",1945.8,"Électricité",NA
"2107E0010228R","2021-07-04","F","appartement",NA,NA,"Légère","27 Rue Boissy dâ€™Anglas 07100 Annonay","07100","07010","84","07",830930.2,6461414.16,155.2,"insuffisante",15173.4,339.4,"Électricité",1418.2,"Électricité",NA
"2107E0085860P","2021-07-22","G","maison",NA,51.4,"Moyenne","Montee de Sabastio 07160 Saint-Jean-Roure","07160","07248","84","07",812651.45,6428014.96,350.1,"insuffisante",34321.4,667,"Électricité",2334.2,"Électricité",NA
"2107E0034957U","2021-07-11","C","maison",NA,167.2,"Moyenne","125 Chemin de l’Esqueyrade 07220 Saint-Thomé","07220","07300","84","07",829198.83,6379598.27,421.4,"bonne",21956.9,131,"Électricité d'origine renouvelable utilisée dans le bâtiment",1912.9,"Électricité d'origine renouvelable utilisée dans le bâtiment",NA
"2107E0050836N","2021-07-14","C","maison",NA,240,"Légère","Font Laniere 07190 Saint-Julien-du-Gua","07190","07253","84","07",813745.72,6407442.39,279.6,"bonne",28452.5,118,"Bois – Granulés (pellets) ou briquettes",1935.4,"Électricité",NA
"2107E0059045G","2021-07-17","D","maison",NA,171.9,"Moyenne","25 Faubourg Saint Jacques 07220 Viviers","07220","07346","84","07",834061.87,6377538.73,592.8,"insuffisante",36504.6,212,"Électricité",3397.4,"Électricité",NA
"2107E0057422V","2021-07-16","E","maison",NA,92.2,NA,"623 Route de Champfagou (Les Vans) 07140 Les Vans","07140","07334","84","07",789641.99,6368372.01,692.4,"insuffisante",27462.3,297.8,"Électricité",2496,"Électricité",NA
"2107E0015701E","2021-07-05","C","maison",NA,NA,"Légère","107 Rue des Celestins 07430 Colombier-le-Cardinal","07430","07067","84","07",836386.02,6464579.72,373.3,"bonne",16405,136.2,"Électricité",1508,"Électricité",NA
"2107E0030691S","2021-07-08","E","maison",NA,241,"Légère","4 Route de Livron 07800 La Voulte-sur-Rhône","07800","07349","84","07",841782.9,6412386.89,777.1,"insuffisante",67886.6,281,"Électricité",4636.4,"Électricité",NA
"2107E0069537U","2021-07-19","B","appartement",NA,67.2,"Légère","1 Rue de Rompon 07250 Le Pouzin","07250","07181","84","07",838510.19,6408392.27,51.8,"moyenne",4094.1,60,"Gaz naturel",604.4,"Électricité",NA
"2107E0130279A","2021-08-01","D","appartement",NA,31,"Légère","Rue Ferdinand Malet 07130 Saint-Péray","07130","07281","84","07",845085.47,6428674.16,51.1,"bonne",7705.1,248,"Électricité",845.3,"Électricité",NA
"2107E0080464B","2021-07-21","E","maison",NA,67,"Légère","La Haute Gazelle 07590 Saint-Étienne-de-Lugdarès","07590","07232","84","07",777493.17,6393866.98,183.5,"moyenne",20052.7,299,"Électricité",2900.3,"Électricité",NA
"2107E0092592N","2021-07-24","G","maison",NA,88.8,"Légère","Arlebosc","07410","07014","84","07",829587.6,6438604.23,589.4,"insuffisante",69583.3,783,"Bois – Bûches",4627.1,"Électricité",NA
"2107E0304776L","2021-07-05","E","appartement",NA,31,"Légère","5 Chemin de Boisvignal 07200 Aubenas","07200","07019","84","07",810744.48,6391478.85,67.2,"insuffisante",8888,286.7,"Électricité",866.9,"Électricité",NA
"2107E0748134R","2021-07-19","E","appartement",NA,49.3,"Légère","4 Avenue Bel Horizon 07300 Tournon-sur-Rhône","07300","07324","84","07",845040.39,6441888.86,209.9,"insuffisante",9060.6,183.6,"Électricité",887,"Électricité",NA
