"numero_dpe","date_etablissement_dpe","etiquette_dpe","type_batiment","periode_construction","surface_habitable_logement","classe_inertie_batiment","adresse_ban","code_postal_ban","code_insee_ban","code_region_ban","code_departement_ban","coordonnee_cartographique_x_ban","coordonnee_cartographique_y_ban","deperditions_enveloppe","qualite_isolation_enveloppe","conso_5_usages_ep","conso_5_usages_par_m2_ep","type_energie_n1","cout_total_5_usages","type_energie_principale_chauffage","_score"
"2126E0005241P","2021-07-01","D","appartement",NA,NA,"Lourde","Avenue du 11 Novembre 26100 Romans-sur-Isère","26100","26281","84","26",862993.93,6440495.71,168.3,"insuffisante",15109.5,211.1,"Électricité",1413.6,"Électricité",NA
"2126E0000259Z","2021-06-30","G","maison",NA,NA,"Légère","Boulevard Chandeysson 26700 Pierrelatte","26700","26235","84","26",835074.48,6365573.5,711,"insuffisante",65135.6,651.3,"Électricité",4957.3,"Électricité",NA
"2138E0067312K","2021-07-01","D","appartement",NA,86.8,NA,"2 Rue Mazagran 26300 Bourg-de-Péage","26300","26057","84","26",861347.53,6439761.93,161.2,"bonne",20455.1,235.7,"Électricité",1986,"Électricité",NA
"2126E0004682C","2021-07-01","C","maison",NA,NA,"Légère","15 Lotissement Valchantesse 26260 Saint-Donat-sur-l'Herbasse","26260","26301","84","26",856289.27,6449998.98,162.9,"très bonne",15516.5,154.8,"Électricité",1133.9,"Électricité",NA
"2126E0016547L","2021-07-01","D","appartement",NA,68.3,NA,"31 Rue des Frères Montgolfier 26000 Valence","26000","26362","84","26",850052.42,6426287.91,161.9,"insuffisante",11123.8,162.8,"Gaz naturel",1230,"Gaz naturel",NA
"2126E0003655P","2021-07-01","C","maison",NA,NA,"Légère","75 Rue Jean Prevost 26500 Bourg-lès-Valence","26500","26058","84","26",848306.29,6430446.5,157,"très bonne",14851.8,161.4,"Bois – Bûches",1327.4,"Électricité",NA
"2126E0029272W","2021-07-08","D","maison",NA,117.7,"Légère","260 Chemin de Planche 26750 Montmiral","26750","26207","84","26",869598.83,6450160.7,305.3,"bonne",20886.4,177,"Électricité",2071.4,"Électricité",NA
"2126E0057934G","2021-07-16","D","maison",NA,238,"Légère","535 Chemin Potrou 26350 Valherbasse","26350","26210","84","26",866946.23,6456677.59,672.6,"moyenne",51850.2,217,"Fioul domestique",4183.7,"Électricité",NA
"2126E0081198A","2021-07-21","E","maison",NA,167,"Légère","Rue des Tourterelles 26120 Chabeuil","26120","26064","84","26",861888.24,6426388.39,534,"bonne",42694.3,255,"Électricité",3076.8,"Électricité",NA
"2126E0024480O","2021-07-07","C","appartement",NA,57.3,"Moyenne","377 Avenue Victor Hugo 26000 Valence","26000","26362","84","26",848736.39,6425584.75,92,"bonne",9364.8,163,"Électricité",978.7,"Électricité",NA
"2126E0109472M","2021-07-27","C","appartement",NA,65.9,"Légère","161 Avenue de Romans 26000 Valence","26000","26362","84","26",850457.97,6427991.18,113.6,"insuffisante",8248.2,125,"Gaz naturel",1082.7,"Électricité",NA
"2126E0093029B","2021-07-25","F","maison",NA,51,"Lourde","Lieu Dit la Donne 26510 Cornillon-sur-l'Oule","26510","26105","84","26",888491.01,6376184.71,169.6,"très bonne",21149.7,414,"Électricité",1689.9,"Électricité",NA
"2126E0097998E","2021-07-25","C","maison",NA,172.7,"Lourde","Chemin des Chassans 26800 Étoile-sur-Rhône","26800","26124","84","26",848551.65,6415843.03,283.9,"bonne",19841,114,"Électricité",1608.9,"Électricité",NA
"2126E0108250M","2021-07-27","D","appartement",NA,43.3,"Moyenne","377 Avenue Victor Hugo 26000 Valence","26000","26362","84","26",848736.39,6425584.75,71.6,"bonne",9502.5,219,"Électricité",989.8,"Électricité",NA
"2126E0077709V","2021-07-21","F","appartement",NA,30.7,"Moyenne","9 Boulevard Maurice Clerc 26000 Valence","26000","26362","84","26",849439.4,6427574.48,93.7,"insuffisante",11521.8,375,"Électricité",1151.9,"Électricité",NA
"2126E0092585Z","2021-07-24","F","maison",NA,125.2,"Légère","1 Rue Darius Milhaud 26130 Saint-Paul-Trois-Châteaux","26130","26324","84","26",840406.96,6362753.07,576.1,"insuffisante",39418.9,314,"Électricité",3731.5,"Électricité",NA
"2126E0071739F","2021-07-20","B","maison",NA,205.4,"Légère","2812 Route de Saint-Donat 26380 Peyrins","26380","26231","84","26",859621.09,6445587.85,359.1,"très bonne",21715.4,105,"Électricité",1895.3,"Électricité",NA
"2126E0063942I","2021-07-18","G","maison",NA,78,"Lourde","56 Rue des Jardins 26410 Saint-Roman","26410","26327","84","26",892741.98,6402039.97,356.9,"insuffisante",26161,335,"Fioul domestique",2459.1,"Électricité",NA
"2126E0151621P","2021-07-21","D","appartement",NA,58.1,NA,"20 Avenue Adrien Fayolle 26400 Crest","26400","26108","84","26",860744.01,6405133.38,146.8,"insuffisante",13795.5,237.5,"Gaz naturel",1624,"Gaz naturel",NA
"2126E0017114G","2021-07-06","C","appartement",NA,75.6,"Moyenne","5bis Avenue Jean Moulin 26500 Bourg-lès-Valence","26500","26058","84","26",849646.74,6429442.14,103.1,"bonne",8319.4,110,"Électricité",1137.9,"Électricité",NA
"2126E0023313R","2021-07-07","F","appartement",NA,57,"Légère","43 Rue de l’Armée Belge 26000 Valence","26000","26362","84","26",850154.28,6427275.26,235.9,"insuffisante",20240,355,"Électricité",2130.8,"Électricité",NA
