"numero_dpe","date_etablissement_dpe","etiquette_dpe","type_batiment","periode_construction","surface_habitable_logement","classe_inertie_batiment","adresse_ban","code_postal_ban","code_insee_ban","code_region_ban","code_departement_ban","coordonnee_cartographique_x_ban","coordonnee_cartographique_y_ban","deperditions_enveloppe","qualite_isolation_enveloppe","conso_5_usages_ep","conso_5_usages_par_m2_ep","type_energie_n1","cout_total_5_usages","type_energie_principale_chauffage","_score"
"2126E0053176G","2021-07-15","F","maison",NA,140.3,"Très lourde","La Casse 26570 Montbrun-les-Bains","26570","26193","84","26",896769.37,6345363.15,618.2,"insuffisante",41670.9,297,"Électricité",5873.5,"Électricité",NA
"2126E0118005R","2021-07-28","C","appartement",NA,77,"Légère","144 Avenue de Romans 26000 Valence","26000","26362","84","26",850614.24,6428045.62,90.5,"insuffisante",8268.1,107,"Gaz naturel",1117.2,"Électricité",NA
"2126E0167226U","2021-08-01","E","appartement",NA,50.5,NA,"199 Grande Rue Jean Jaures 26300 Bourg-de-Péage","26300","26057","84","26",861136.99,6439314.39,101.9,"bonne",14648.5,290,"Électricité",1380,"Électricité",NA
"2126E0341715X","2021-07-15","E","maison",NA,80,"Lourde",NA,"26140","26010","84","26",0,0,538.9,"insuffisante",26099.8,326,"Électricité",2608,"Gaz naturel",NA
"2126E0016588A","2021-07-06","D","appartement",NA,51,"Lourde","16 Passage de l’Amiral 26500 Bourg-lès-Valence","26500","26058","84","26",850330.74,6430694.37,98.2,"moyenne",8697.1,170,"Gaz naturel",1119.3,"Électricité",NA
"2126E0025637B","2021-07-07","C","maison",NA,NA,"Légère","Route de la Trésorerie 26120 Malissard","26120","26170","84","26",854660.64,6424956.96,263.8,"bonne",16063.1,138.6,"Gaz naturel",1771.2,"Électricité",NA
"2126E0104046U","2021-07-26","D","appartement",NA,41.9,"Moyenne","4 Rue Amblard 26000 Valence","26000","26362","84","26",850072.76,6427530.49,86.7,"bonne",7680.6,183,"Électricité",1019.4,"Électricité",NA
"2126E0027615D","2021-07-08","C","appartement",NA,78,"Moyenne","370 Route de la Valloire 26210 Saint-Sorlin-en-Valloire","26210","26330","84","26",852552.4,6467411.99,93.5,"moyenne",12127.4,155,"Électricité",1196.1,"Électricité",NA
"2126E0036248E","2021-07-11","F","appartement",NA,67.2,"Lourde","Avenue de la Résistance 26110 Mirabel-aux-Baronnies","26110","26182","84","26",867381.01,6359080.72,242.5,"moyenne",24393.7,363,"Électricité",2090.6,"Électricité",NA
"2126E0034221F","2021-07-11","E","maison",NA,130,"Très lourde","2 Rue de l’Ile Adam 26500 Bourg-lès-Valence","26500","26058","84","26",849487.21,6429415.76,613.1,"insuffisante",42374.3,325,"Bois – Bûches",3149,"Électricité",NA
"2126E0095500C","2021-07-25","D","maison",NA,80,"Légère","45 Chemin des Poiriers 26210 Manthes","26210","26172","84","26",857033.87,6468933.63,231.3,"bonne",15400.7,192,"Électricité",2234.2,"Électricité",NA
"2126E0179376C","2021-07-25","D","appartement",NA,61.6,NA,"Rue Barbe 26300 Bourg-de-Péage","26300","26057","84","26",861037.23,6439592.45,114.3,"bonne",14451,234.6,"Électricité",1365,"Électricité",NA
"2126E0119734E","2021-07-29","D","maison",NA,35.6,"Moyenne","Route dâ€™Orange 26110 Nyons","26110","26220","84","26",867918.56,6362915.88,72.6,"très bonne",7937,222,"Électricité",863.9,"Électricité",NA
"2126E0030520W","2021-07-08","D","appartement",NA,73.9,"Très lourde","15 Cote Saint Pierre 26500 Bourg-lès-Valence","26500","26058","84","26",849474.47,6428299.91,217,"insuffisante",15877.2,214,"Électricité",1631.4,"Électricité",NA
"2126E0128638Q","2021-08-01","C","appartement",NA,264.1,"Moyenne","25 Côte des Cordeliers 26100 Romans-sur-Isère","26100","26281","84","26",861462.38,6440462.18,442,"bonne",24857.8,94,"Électricité",2504.5,"Électricité",NA
"2126E0107300Y","2021-07-27","D","appartement",NA,39.1,"Lourde","Rue Chorier 26000 Valence","26000","26362","84","26",849922.52,6427460.77,63.9,"bonne",7603.2,194,"Électricité",837.1,"Électricité",NA
"2126E0030664K","2021-07-08","C","appartement",NA,82.1,"Légère","4 Avenue du President Roosevelt 26600 Tain-l'Hermitage","26600","26347","84","26",845022.29,6442758.74,102.9,"moyenne",11157.1,135,"Électricité",786.5,"Électricité",NA
"2126E0043955P","2021-07-12","E","maison",NA,73.3,"Très lourde","75 Chemin de Sausse 26160 Pont-de-Barret","26160","26249","84","26",857409.59,6390118.78,277.7,"insuffisante",20643.2,281,"Bois – Bûches",1590.2,"Électricité",NA
"2126E0058514O","2021-07-17","D","appartement",NA,69,"Légère","Esplanade des Remparts 26780 Châteauneuf-du-Rhône","26780","26085","84","26",836471.53,6377808.09,134.6,"insuffisante",14662.6,212,"Électricité",1381,"Électricité",NA
"2126E0058180S","2021-07-17","D","appartement",NA,41,"Légère","16 Rue Paul Loubet 26200 Montélimar","26200","26198","84","26",838791.88,6386591.02,105.9,"insuffisante",7422.6,181,"Électricité",636.7,"Électricité",NA
"2126E0036951F","2021-07-11","D","appartement",NA,79.3,"Lourde","Chemin des Boeufs 26100 Romans-sur-Isère","26100","26281","84","26",863001.23,6439995.17,180.1,"insuffisante",13772.1,173,"Gaz naturel",1464.6,"Électricité",NA
"2126E0089389B","2021-07-22","D","appartement",NA,34,"Lourde","Avenue de la Forèt de Lente 26190 Saint-Jean-en-Royans","26190","26307","84","26",880494.93,6437109.46,51.7,"très bonne",6813.5,200,"Électricité",773.6,"Électricité",NA
"2126E0085659P","2021-07-22","C","appartement",NA,45.2,"Très lourde","27 Avenue de Verdun 26000 Valence","26000","26362","84","26",849807.61,6428359.46,58.1,"très bonne",7490.9,165,"Électricité",828.1,"Électricité",NA
"2126E0016674I","2021-07-06","D","appartement",NA,NA,"Lourde","377 Avenue Victor Hugo 26000 Valence","26000","26362","84","26",848736.39,6425584.75,68,"moyenne",8594.3,222.9,"Électricité",916.8,"Électricité",NA
"2126E0098913J","2021-07-26","C","appartement",NA,23.6,"Lourde","174 Rue Faventines 26000 Valence","26000","26362","84","26",850290.98,6426738.5,23.5,"insuffisante",4343.1,184,"Électricité",556,"Électricité",NA
"2126E0108955P","2021-07-27","D","appartement",NA,84.7,NA,"grande rue 26270 Loriol-sur-Drôme","26270","26166","84","26",844183.42,6407494.26,264.8,"insuffisante",19675.6,232.2,"Bois – Granulés (pellets) ou briquettes",1571,"Bois – Granulés (pellets) ou briquettes",NA
"2126E0166811V","2021-08-01","D","appartement",NA,47.5,NA,"199 Grande Rue Jean Jaures 26300 Bourg-de-Péage","26300","26057","84","26",861136.99,6439314.39,93.2,"moyenne",8958.3,188.5,"Électricité",947,"Électricité",NA
"2126E0131036W","2021-08-01","A","maison",NA,114,NA,"220 Route des Moulins 26300 Chatuzange-le-Goubet","26300","26088","84","26",864906.71,6436495.24,168,"très bonne",6485,56.8,"Électricité",748,"Électricité",NA
"2126E0043947H","2021-07-12","E","appartement",NA,60.8,"Moyenne","Col de Rousset 26420 Saint-Agnan-en-Vercors","26420","26290","84","26",890095.94,6418551.98,128.1,"bonne",21672.9,356,"Électricité",1892.2,"Électricité",NA
"2126E0026547B","2021-07-07","D","maison",NA,68,NA,"4 Rue Maurice Ravel 26000 Valence","26000","26362","84","26",851455.22,6427925.7,188.5,"bonne",14502.9,213.2,"Gaz naturel",1546,"Gaz naturel",NA
"2126E0075054S","2021-07-20","E","appartement",NA,43.2,"Moyenne","3 Place de l’Église 26420 Saint-Agnan-en-Vercors","26420","26290","84","26",891802.2,6429235.51,79,"moyenne",12419.5,287,"Électricité",1217.4,"Électricité",NA
"2126E0049283N","2021-07-14","E","maison",NA,97.7,"Lourde","Lâ€™Autin 26570 Montbrun-les-Bains","26570","26193","84","26",895330.35,6344855.7,229.2,"moyenne",28496.5,291,"Électricité",2389.8,"Électricité",NA
"2126E0122035R","2021-07-29","D","maison",NA,42,"Moyenne","Route dâ€™Orange 26110 Nyons","26110","26220","84","26",867918.56,6362915.88,81.7,"bonne",9794,233,"Électricité",1013.2,"Électricité",NA
"2126E0094799D","2021-07-25","B","maison",NA,178.4,"Moyenne","196 Traverse des Fenils 26300 Marches","26300","26173","84","26",866591.03,6432310.91,384.8,"bonne",16523.2,92,"Électricité",1249,"Électricité",NA
"2126E0021564K","2021-07-07","C","appartement",NA,19.2,"Lourde","14 Rue Jean Louis Barrault 26000 Valence","26000","26362","84","26",849779.4,6427668.86,17.6,"insuffisante",3786.3,197,"Électricité",503.7,"Électricité",NA
"2126E0100151Z","2021-07-26","E","maison",NA,114.3,"Très lourde","11 Rue du General Albert 26100 Romans-sur-Isère","26100","26281","84","26",863569.04,6440451.83,535,"insuffisante",34111.4,298,"Gaz naturel",3237.5,"Électricité",NA
"2126E0031885J","2021-07-09","G","maison",NA,115.5,"Moyenne","Route de Fortune 26210 Moras-en-Valloire","26210","26213","84","26",855138.32,6467439.17,561.6,"insuffisante",39664.9,343,"Électricité",3697.4,"Électricité",NA
"2126E0099702S","2021-07-26","D","maison",NA,41.6,"Légère","Route dâ€™Orange 26110 Nyons","26110","26220","84","26",867918.56,6362915.88,101.9,"bonne",10091.3,242,"Électricité",1037.1,"Électricité",NA
"2126E0044152E","2021-07-12","B","maison",NA,199.4,"Légère","20 Chemin de lâ€™Arps 26190 Sainte-Eulalie-en-Royans","26190","26302","84","26",884514.9,6441333.96,282.3,"très bonne",19117.6,95,"GPL",1676.8,"Électricité",NA
"2126E0084580C","2021-07-22","D","appartement",NA,96.3,"Très lourde","1 Rue Pierre Semard 26100 Romans-sur-Isère","26100","26281","84","26",861378.9,6440634.77,245.2,"insuffisante",16879,175,"Électricité",1739.6,"Électricité",NA
"2126E0570622A","2021-07-28","D","appartement",NA,58,"Lourde",NA,"26000","26362","84","26",0,0,184.9,"moyenne",11110.9,192,"Gaz naturel",1296,"Gaz naturel",NA
"2126E0018782K","2021-07-06","D","appartement",NA,43.7,"Lourde","Promenade de la Digue 26110 Nyons","26110","26220","84","26",870108.05,6364232.82,69.8,"insuffisante",8285,189,"Électricité",891.9,"Électricité",NA
"2126E0118218W","2021-07-28","E","appartement",NA,48.9,NA,"17bis Faubourg Saint Jacques 26000 Valence","26000","26362","84","26",849669.69,6427702.33,152.3,"insuffisante",12537.6,256.5,"Gaz naturel",1381,"Gaz naturel",NA
"2126E0021198I","2021-07-06","C","appartement",NA,62,"Moyenne","Avenue de Villeneuve 26200 Montélimar","26200","26198","84","26",839594.39,6386158.52,124.1,"insuffisante",8112.8,130,"Électricité",1014.1,"Électricité",NA
"2126E0089102A","2021-07-22","D","appartement",NA,87.7,"Légère","Avenue de la Forèt de Lente 26190 Saint-Jean-en-Royans","26190","26307","84","26",880494.93,6437109.46,128,"insuffisante",16440.1,187,"GPL",2163.6,"Électricité",NA
"2126E0059008O","2021-07-17","C","maison",NA,120,"Moyenne","8 Allee le Clos des Abeilles 26200 Montélimar","26200","26198","84","26",836900.84,6386112.34,202.1,"très bonne",15627.1,130,"Électricité",1708.5,"Électricité",NA
"2126E0053423T","2021-07-15","F","appartement",NA,60.8,"Moyenne","13 Rue Pierre Brossolette 26500 Bourg-lès-Valence","26500","26058","84","26",848754.59,6429617.41,202.5,"insuffisante",19532.1,321,"Gaz naturel",1911,"Électricité",NA
"2126E0060381J","2021-07-18","G","appartement",NA,49.5,"Très lourde","Chemin de la Plaine 26400 Crest","26400","26108","84","26",858217.85,6406420.14,267.9,"insuffisante",29229.7,590,"Bois – Granulés (pellets) ou briquettes",2387.3,"Électricité",NA
"2126E0044182I","2021-07-12","F","appartement",NA,117,"Très lourde","75 Chemin de Sausse 26160 Pont-de-Barret","26160","26249","84","26",857409.59,6390118.78,503.6,"insuffisante",34632.9,296,"Fioul domestique",3321.8,"Électricité",NA
"2126E0184400I","2021-08-01","D","appartement",NA,104.3,NA,"Place Edouard Lalo 26700 Pierrelatte","26700","26235","84","26",835543.23,6366295.4,292.8,"insuffisante",21607.2,207.1,"Gaz naturel",2064,"Gaz naturel",NA
"2126E0057095Z","2021-07-16","D","maison",NA,87.9,"Légère","Rue des Eglantines 26250 Livron-sur-Drôme","26250","26165","84","26",845034.18,6409632.35,147.8,"bonne",16452.6,187,"Électricité",1511.5,"Électricité",NA
"2126E0089677D","2021-07-22","F","maison",NA,153.8,"Très lourde","910 Route de Dieulefit 26160 La Bâtie-Rolland","26160","26031","84","26",849386.53,6385520.07,860.7,"insuffisante",55688.6,362,"Fioul domestique",4183.4,"Électricité",NA
"2126E0124566A","2021-07-29","G","maison",NA,102,"Moyenne","Le Village 26420 Saint-Agnan-en-Vercors","26420","26290","84","26",891777.89,6429184.32,450.9,"insuffisante",69852.5,684,"Bois – Bûches",4646.8,"Électricité",NA
"2126E0012891V","2021-07-05","D","maison",NA,NA,"Légère","2 Allee des Begonias 26500 Bourg-lès-Valence","26500","26058","84","26",850882.51,6429906.48,265.7,"bonne",25939.9,235.8,"Bois – Bûches",1363.1,"Électricité",NA
"2126E0016529T","2021-07-06","C","appartement",NA,61,"Lourde","377 Avenue Victor Hugo 26000 Valence","26000","26362","84","26",848736.39,6425584.75,68.6,"insuffisante",9083.8,148,"Électricité",956.1,"Électricité",NA
"2126E0083248W","2021-07-21","B","maison",NA,100.5,"Moyenne","15 Lotissement les Orchidees 26240 Saint-Barthélemy-de-Vals","26240","26295","84","26",847587.86,6453688.49,174,"très bonne",8642.5,85,"Électricité",920.6,"Électricité",NA
"2126E0129218Y","2021-07-08","E","maison",NA,62.3,"Moyenne",NA,"26790","26275","84","26",0,0,200.5,"bonne",17334.8,278,"Électricité",1575,"Électricité",NA
"2126E0119891F","2021-07-29","D","maison",NA,52.4,"Moyenne","Route dâ€™Orange 26110 Nyons","26110","26220","84","26",867918.56,6362915.88,97.9,"bonne",10509.6,200,"Électricité",1070.7,"Électricité",NA
"2126E0141965F","2021-07-27","G","maison",NA,162,NA,"66 Route de Marie 26100 Romans-sur-Isère","26100","26281","84","26",859251.48,6439775.09,952.9,"insuffisante",61436.9,379.2,"Fioul domestique",5751,"Fioul domestique",NA
"2126E0031458Y","2021-07-09","F","maison",NA,130,NA,"748 Chemin des Gardons 26120 Montmeyran","26120","26206","84","26",856304.02,6417756.99,529.5,"insuffisante",39121.5,300.9,"Fioul domestique",3596,"Fioul domestique",NA
"2126E0084808W","2021-07-22","G","maison",NA,165.8,"Légère","503 Route dâ€™Ausson 26150 Solaure en Diois","26150","26001","84","26",889656.23,6404176.27,722.2,"insuffisante",75931,457,"Fioul domestique",5818.1,"Électricité",NA
"2126E0116815X","2021-07-28","E","appartement",NA,71.4,"Légère","36 Rue Paul Pons 26400 Crest","26400","26108","84","26",859935.99,6405288.43,164.6,"bonne",19638,275,"Électricité",1743.8,"Électricité",NA
"2126E0093965B","2021-07-25","D","maison",NA,201.1,"Moyenne","644 Chemin de la Cote Saint Denis 26790 Rochegude","26790","26275","84","26",846000.83,6350693.54,467.7,"bonne",42379.1,210,"Bois – Bûches",3100.9,"Électricité",NA
"2126E0016700I","2021-07-06","D","appartement",NA,NA,"Moyenne","377 Avenue Victor Hugo 26000 Valence","26000","26362","84","26",848736.39,6425584.75,73.2,"bonne",9167.2,191.1,"Électricité",962.8,"Électricité",NA
"2126E0087376Q","2021-07-22","E","maison",NA,74.7,"Lourde","12 Le Belvédère 26250 Livron-sur-Drôme","26250","26165","84","26",845821.8,6409754.91,236.5,"moyenne",20470.5,274,"Électricité",1804.5,"Électricité",NA
"2126E0042694C","2021-07-12","C","appartement",NA,56,"Légère","12 Avenue Pierre Semard 26140 Saint-Rambert-d'Albon","26140","26325","84","26",841980.76,6467987.89,83,"bonne",7911.6,141,"Gaz naturel",1047.5,"Électricité",NA
"2126E0081116W","2021-07-21","D","maison",NA,167,"Légère","Rue des Tourterelles 26120 Chabeuil","26120","26064","84","26",861888.24,6426388.39,512.6,"bonne",40803.9,244,"Bois – Bûches",2955.2,"Électricité",NA
"2126E0071375F","2021-07-20","C","appartement",NA,79.6,"Lourde","Rue Emile Expert 26000 Valence","26000","26362","84","26",848649.82,6425484.03,171.4,"moyenne",11356.4,142,"Gaz naturel",1043.6,"Électricité",NA
"2126E0056918E","2021-07-15","D","appartement",NA,59.2,"Lourde","Rue Alfred de Musset 26100 Romans-sur-Isère","26100","26281","84","26",863195.68,6440365.35,176,"insuffisante",13007.6,219,"Gaz naturel",1397.4,"Électricité",NA
"2126E0059025F","2021-07-17","D","maison",NA,100,"Légère","Rue des Vignes 26780 Malataverne","26780","26169","84","26",839217.59,6377602.05,241.9,"bonne",24428.8,244,"Électricité",2093.2,"Électricité",NA
"2126E0011548E","2021-07-04","G","maison",NA,48.5,"Moyenne","Chemin de Lalloue 26620 Lus-la-Croix-Haute","26620","26168","84","26",914582.25,6400385.41,167.4,"moyenne",24915.6,513,"Électricité",2128.7,"Électricité",NA
"2126E0075055T","2021-07-21","C","appartement",NA,36.1,NA,"14 Boulevard du Cagnard 26150 Die","26150","26113","84","26",887694.63,6408593.05,40.8,"bonne",6671.4,184.7,"Électricité",763,"Électricité",NA
"2126E0123757X","2021-07-29","C","appartement",NA,58,"Légère","36 Boulevard du General de Gaulle 26000 Valence","26000","26362","84","26",849413.4,6427457.54,125.2,"moyenne",9222.2,159,"Gaz naturel",1252.9,"Électricité",NA
"2126E0051750K","2021-07-14","F","appartement",NA,75,"Lourde","6 Avenue Jean Clément 26000 Valence","26000","26362","84","26",849698.79,6425887.33,320.7,"insuffisante",27425.8,365,"Électricité",2146,"Électricité",NA
"2126E0069627Z","2021-07-19","D","maison",NA,112.7,"Légère","265 Rue de Marion 26210 Lens-Lestang","26210","26162","84","26",860342.32,6468025.87,221.7,"très bonne",21838.3,193,"Électricité",1603.5,"Électricité",NA
"2126E0016720C","2021-07-06","D","appartement",NA,NA,"Moyenne","377 Avenue Victor Hugo 26000 Valence","26000","26362","84","26",848736.39,6425584.75,73.2,"bonne",9103,189.7,"Électricité",957.7,"Électricité",NA
"2126E0071371B","2021-07-20","C","appartement",NA,79.7,"Lourde","Rue Emile Expert 26000 Valence","26000","26362","84","26",848649.82,6425484.03,138.3,"insuffisante",12851.1,161,"Électricité",1222.2,"Électricité",NA
"2126E0074410Y","2021-07-20","D","maison",NA,120.7,"Légère","457 Rue du Lavoir 26130 Solérieux","26130","26342","84","26",845923.89,6362611.11,313.3,"bonne",26242.9,217,"Électricité",1983.9,"Électricité",NA
"2126E0097631B","2021-07-07","E","appartement",NA,46.9,NA,"Rue Alfred de Musset 26100 Romans-sur-Isère","26100","26281","84","26",863195.68,6440365.35,132.3,"insuffisante",11382.7,242.9,"Gaz naturel",1290,"Gaz naturel",NA
"2126E0054681D","2021-07-15","D","appartement",NA,57,"Très lourde","8 Rue du General Chanzy 26000 Valence","26000","26362","84","26",850499.01,6426850.85,161.4,"insuffisante",11351.4,199,"Électricité",1266.8,"Électricité",NA
"2126E0052956U","2021-07-15","E","maison",NA,79.5,"Moyenne","500 Rue de Montfrey 26210 Manthes","26210","26172","84","26",857183.14,6468721.02,250.2,"moyenne",25439.4,319,"Électricité",2166.9,"Électricité",NA
"2126E0036294Y","2021-07-11","D","appartement",NA,67.8,"Moyenne","Avenue de la Résistance 26110 Mirabel-aux-Baronnies","26110","26182","84","26",867381.01,6359080.72,191.5,"moyenne",14577.1,214,"Électricité",1374.7,"Électricité",NA
"2126E0090794C","2021-07-23","F","maison",NA,88.7,"Lourde","9 Rue des Romarins 26740 Les Tourrettes","26740","26353","84","26",842706.98,6397815.85,402.8,"insuffisante",29708.8,335,"Électricité",2148.7,"Électricité",NA
"2133E0123621Y","2021-07-29","C","appartement",NA,54.4,"Moyenne","30 Lotissement les Patios I 26800 Beauvallon","26800","26042","84","26",850455.5,6419432.26,85.2,"bonne",8955.6,164,"Électricité",719.9,"Électricité",NA
"2126E0022835H","2021-07-07","C","appartement",NA,49.7,"Lourde","13 Avenue des Bruyeres 26500 Bourg-lès-Valence","26500","26058","84","26",850130.3,6429232.14,47.3,"moyenne",4826.5,97,"Gaz naturel",711.7,"Électricité",NA
"2126E0047735Z","2021-07-14","D","appartement",NA,63,"Légère","158 Avenue Maurice Faure 26000 Valence","26000","26362","84","26",848648.4,6425652.65,119,"insuffisante",14066.3,223,"Électricité",1337.5,"Électricité",NA
"2126E0022673B","2021-07-07","D","appartement",NA,NA,"Lourde","377 Avenue Victor Hugo 26000 Valence","26000","26362","84","26",848736.39,6425584.75,68,"moyenne",8594.3,222.9,"Électricité",916.8,"Électricité",NA
"2126E0038619J","2021-07-11","D","appartement",NA,51.2,"Légère","Rue de Marseille 26140 Saint-Rambert-d'Albon","26140","26325","84","26",842405.53,6466901.78,103.4,"bonne",8218.8,160,"Électricité",1068.7,"Électricité",NA
"2159E0104231E","2021-07-26","E","appartement",NA,47.4,"Très lourde","Rue Paul Verlaine 26800 Portes-lès-Valence","26800","26252","84","26",848949.3,6421388.37,127.2,"insuffisante",15138.9,319,"Électricité",992,"Électricité",NA
"2126E0057073D","2021-07-16","D","appartement",NA,46.1,"Lourde","377 Avenue Victor Hugo 26000 Valence","26000","26362","84","26",848736.39,6425584.75,70.7,"insuffisante",8750.4,189,"Électricité",929.3,"Électricité",NA
"2126E0064049L","2021-07-18","G","maison",NA,89.7,"Très lourde","Boulc","26410","26055","84","26",903650.99,6397463.52,388.3,"moyenne",47165.2,525,"Bois – Bûches",1814.8,"Électricité",NA
"2126E0017881T","2021-07-06","C","appartement",NA,NA,"Lourde","Rue des Docteurs lâ€™et F Thiers 26400 Crest","26400","26108","84","26",859908.11,6405477.28,138,"insuffisante",14182.8,164.3,"Électricité",1346,"Électricité",NA
"2126E0074562U","2021-07-12","E","maison",NA,176,NA,"1 Impasse des renoncees 26250 Livron-sur-Drôme","26250","26165","84","26",845382.37,6410150.52,644.3,"insuffisante",40048.1,227.5,"Fioul domestique",3816,"Fioul domestique",NA
"2126E0042922W","2021-07-12","C","appartement",NA,63.2,"Lourde","125 Avenue Maurice Faure 26000 Valence","26000","26362","84","26",848626.2,6426073.63,76.7,"moyenne",9329,147,"Électricité",975.8,"Électricité",NA
"2126E0047625T","2021-07-14","C","appartement",NA,80.7,"Très lourde","73 Rue de Thibert 26000 Valence","26000","26362","84","26",849676.13,6426071.32,146.4,"insuffisante",10833.3,134,"Gaz naturel",1002.5,"Électricité",NA
