"numero_dpe","date_etablissement_dpe","etiquette_dpe","type_batiment","periode_construction","surface_habitable_logement","classe_inertie_batiment","adresse_ban","code_postal_ban","code_insee_ban","code_region_ban","code_departement_ban","coordonnee_cartographique_x_ban","coordonnee_cartographique_y_ban","deperditions_enveloppe","qualite_isolation_enveloppe","conso_5_usages_ep","conso_5_usages_par_m2_ep","type_energie_n1","cout_total_5_usages","type_energie_principale_chauffage","_score"
"2315E1486720F","2023-05-03","E","maison",NA,153,"Lourde","La Chapelle-Laurent","15500","15042","84","15",718850.05,6453772.02,563.1,"insuffisante",47957.7,313,"Fioul domestique",3717.3,"Fioul domestique",NA
"2315E1797377O","2023-05-30","F","maison",NA,71.5,"Légère","8 Rue Fournier Durand 15800 Vic-sur-Cère","15800","15258","84","15",670478.49,6431165.95,274.6,"insuffisante",26838.5,375,"Fioul domestique",2052.6,"Fioul domestique",NA
"2315E1817646D","2023-05-31","E","maison",NA,83.1,"Légère","17 Moulergues 15350 Champagnac","15350","15037","84","15",655375.65,6476361.87,186.5,"très bonne",26751.2,321.8,"Électricité",1768,"Électricité",NA
"2315E1549242X","2023-05-09","E","maison",NA,101.6,"Très lourde","Joursac","15170","15080","84","15",701178.57,6451411.22,234.4,"bonne",37961.2,373,"Bois – Bûches",1529.8,"Bois – Bûches",NA
"2315E1566564D","2023-05-10","F","appartement",NA,35.5,"Légère","10 Place de lâ€ Hotel de Ville 15000 Aurillac","15000","15014","84","15",656222.99,6425815.72,87.4,"bonne",14040.2,396,"Électricité",1054.5,"Électricité",NA
"2315E1692733U","2023-05-22","F","maison",NA,101.8,"Lourde","3 Impasse du Lac de Granval 15130 Ytrac","15130","15267","84","15",651815.91,6421603.67,424.9,"insuffisante",31106.2,305.5,"Fioul domestique",2921,"Fioul domestique",NA
"2315E1559500L","2023-05-10","E","appartement",NA,95,"Légère","28 Rue de Fraissy 15000 Aurillac","15000","15014","84","15",656805.54,6423246.82,275.4,"bonne",28196.7,296,"Gaz naturel",1896.6,"Gaz naturel",NA
"2315E1711993O","2023-05-23","E","appartement",NA,91,"Moyenne","11 Rue Guy de Veyre 15000 Aurillac","15000","15014","84","15",655956.28,6425409.75,229.7,"insuffisante",24506.4,269,"Gaz naturel",1885.5,"Gaz naturel",NA
"2315E1813599M","2023-05-23","G","appartement",NA,36.9,"Légère","16 Avenue Max Mabit Fournier 15800 Vic-sur-Cère","15800","15258","84","15",670243.61,6430991.59,228.6,"insuffisante",26135.3,707.6,"Fioul domestique",2414,"Fioul domestique",NA
"2315E1825333U","2023-06-01","D","appartement",NA,97.6,"Très lourde","3 Rue Maurice Montel 15320 Ruynes-en-Margeride","15320","15168","84","15",717559.4,6433691.55,174.6,"bonne",24385.9,249,"Électricité",1762.3,"Électricité",NA
